volume_range;filled_volume
(0, 1];17279.88
(1, 2];3707.38
(2, 3];1419.76
(3, 4];858.52
(4, 5];687.16
(5, 6];278.97
(6, 7];245.93
(7, 8];171.52
(8, 9];144
(9, 10];135
(10, 11];40.01
(11, 12];38
(12, 13];35.84
(13, 14];32
(14, 15];32
(15, 16];7.2
(16, 17];4.5
(17, 18];3
(18, 19];2
(19, 20];1
(20, 21];0
